years,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Всего по экономике,2223,3240,4360,5499,6740,8555,10634,13593,17290,18638,20952,23369,26629,29792,32495,34030,36709,39167,43724,47867,51344,57244,65338,73709
Средняя заработная плата в сфере строительство,2640,3859,4807,6177,7305,9043,10869,14333,18574,18122,21172,23682,25951,27701,29354,29960,32332,33678,38518,42630,44738,51944,60850,68944
Средняя заработная плата в сфере финансовая деятельность,5232,8885,13246,15561,17384,22464,27886,34880,41872,42373,50120,55789,58999,63333,68565,70088,80289,84904,91070,103668,112680,130223,146637,169106
Средняя заработная плата в сфере образование,1240,1833,2927,3387,4203,5430,6983,8778,11317,13294,14075,15809,18995,23458,25862,26928,28088,30258,34361,37072,39563,43391,48400,54263
Тест %,20.20,18.58,15.06,11.99,11.74,10.91,9.00,11.87,13.28,8.80,8.78,6.10,6.58,6.45,11.36,12.91,5.38,2.52,4.27,3.05,4.91,8.39,11.92,7.42
inflation_year,0.20,0.19,0.15,0.12,0.12,0.11,0.09,0.12,0.13,0.09,0.09,0.06,0.07,0.06,0.11,0.13,0.05,0.03,0.04,0.03,0.05,0.08,0.12,0.07
Инфляция накопительным итогом к 2000,1.00,1.20,1.39,1.54,1.66,1.78,1.88,1.97,2.09,2.23,2.31,2.40,2.46,2.53,2.59,2.71,2.84,2.89,2.92,2.96,2.99,3.04,3.12,3.24
Стоимость рубля от 2000 года ,1.00,0.81,0.69,0.61,0.54,0.48,0.44,0.38,0.33,0.30,0.28,0.26,0.24,0.23,0.20,0.18,0.17,0.16,0.15,0.15,0.14,0.13,0.12,0.11
Средняя заработная плата в сфере строительство с поправкой на инфляцию к 2000 году,2640,3211,3464,4015,4405,5093,5767,7258,8872,8140,9148,9859,10536,10954,11319,11068,11400,11654,13213,14413,14971,17102,19495,21276
Средняя заработная плата в сфере финансовая деятельность с поправкой на инфляцию к 2000 году,5232,7392,9545,10115,10483,12651,14795,17662,20001,19033,21657,23225,23953,25044,26438,25891,28310,29380,31241,35049,37707,42873,46979,52185
Средняя заработная плата в сфере образование с поправкой на инфляцию к 2000 году,1240,1525,2109,2201,2535,3058,3705,4445,5406,5971,6082,6581,7712,9276,9972,9948,9904,10470,11787,12534,13239,14285,15506,16745
total,2223,2638,3016,3347,3620,4094,4631,5217,5755,5658,5802,6076,6468,6770,6545,5970,6093,6337,6773,7188,7332,7488,7528,7863
construction_avg_salary_inflation_adjusted_2000,2640,3142,3324,3760,3924,4328,4734,5502,6182,5501,5863,6158,6304,6295,5913,5256,5367,5449,5966,6402,6388,6795,7011,7354
finance_avg_salary_inflation_adjusted_2000,5232,7234,9161,9471,9339,10751,12145,13388,13937,12863,13879,14506,14331,14392,13811,12295,13327,13738,14106,15568,16090,17035,16896,18039
education_avg_salary_inflation_adjusted_2000,1240,1492,2024,2061,2258,2599,3041,3369,3767,4035,3898,4111,4614,5331,5209,4724,4662,4896,5322,5567,5649,5676,5577,5788
GDP_Russia,48910,51400,53820,57750,61910,65870,71270,77330,81350,75000,78380,81750,85040,86530,87170,85450,86010,87179,89626,91596,89156,93391,
