,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,20171),2018,2019,2020,2021,20222),"20232), 3)"
Всего по  экономике,2223,3240,4360,5499,6740,8555,10634,13593,17290,18638,20952,23369,26629,29792,32495,34030,36709,39167,43724,47867,51344,57244,65338,73709
Строительство,2640,3859,4807,6177,7305,9043,10869,14333,18574,18122,21172,23682,25951,27701,29354,29960,32332,33678,38518,42630,44738,51944,60850,68944
Финансовая деятельность,5232,8885,13246,15561,17384,22464,27886,34880,41872,42373,50120,55789,58999,63333,68565,70088,80289,84904,91070,103668,112680,130223,146637,169106
Образование,1240,1833,2927,3387,4203,5430,6983,8778,11317,13294,14075,15809,18995,23458,25862,26928,28088,30258,34361,37072,39563,43391,48400,54263
Инфляция в %,20.2,18.58,15.06,11.99,11.74,10.91,9,11.87,13.28,8.8,8.78,6.1,6.58,6.45,11.36,12.91,5.38,2.52,4.27,3.05,4.91,8.39,11.92,7.42
Инфляция годовавя %,20.20%,18.58%,15.06%,11.99%,11.74%,10.91%,9.00%,11.87%,13.28%,8.80%,8.78%,6.10%,6.58%,6.45%,11.36%,12.91%,5.38%,2.52%,4.27%,3.05%,4.91%,8.39%,11.92%,7.42%
Инфляция накопительным итогом к 2000,100.00%,120.20%,138.78%,153.84%,165.83%,177.57%,188.48%,197.48%,209.35%,222.63%,231.43%,240.21%,246.31%,252.89%,259.34%,270.70%,283.61%,288.99%,291.51%,295.78%,298.83%,303.74%,312.13%,324.05%
Строительство к 2000 году,2639.8,3210.732113,3463.683528,4015.015601,4404.932762,5092.526891,5766.765705,7258.152724,8872.223549,8140.053003,9148.208962,9858.873486,10535.74764,10953.93254,11318.73217,11067.60251,11400.16219,11653.65584,13213.26884,14412.70539,14971.05378,17101.53421,19494.92199,21275.85249
Финансовая деятельность к 2000 году,5232.2,7392.013311,9544.530912,10115.18461,10482.90418,12650.50403,14794.93846,17662.44683,20000.8598,19032.87967,21656.65644,23225.05308,23953.22967,25043.69489,26438.26637,25891.39269,28309.65058,29379.56331,31240.78076,35048.9553,37707.05752,42873.27978,46979.49572,52185.06403
Образование к 2000 году,1240.2,1524.958403,2109.309699,2201.378055,2534.764518,3057.78003,3705.061545,4445.159003,5405.684261,5971.162916,6081.839001,6581.366304,7711.948358,9275.930246,9972.237218,9947.543406,9903.741053,10470.12007,11787.24572,12533.60606,13239.29994,14285.40857,15506.42361,16745.16278
